User ID,Operating System,App Usage Time (min/day),Screen On Time (hours/day),Battery Drain (mAh/day),Number of Apps Installed,Data Usage (MB/day),Age,Gender,User Behavior Class
1,Android,393,6.4,1872,67,1122,40,Male,4
4,Android,239,4.8,1676,56,871,20,Male,3
6,Android,99,2.0,940,35,564,31,Male,2
11,Android,53,1.4,435,17,162,34,Female,1
16,Android,503,10.4,2571,84,2025,39,Female,5
19,Android,81,1.4,558,16,297,26,Female,1
24,Android,292,5.6,1401,46,949,37,Female,3
28,Android,512,10.5,2409,89,1599,33,Male,5
33,Android,278,4.7,1484,55,917,21,Male,3
34,Android,46,2.0,457,14,105,58,Male,1
49,Android,580,8.2,2623,90,2262,49,Male,5
55,Android,516,8.7,2857,83,2189,53,Female,5
70,Android,82,1.7,558,16,284,29,Female,1
73,Android,457,6.3,2347,66,1082,22,Male,4
78,Android,173,2.5,678,29,301,30,Female,2
80,Android,230,5.7,1254,52,989,34,Female,3
85,Android,223,4.5,1311,56,695,33,Female,3
86,Android,404,7.4,2081,63,1352,44,Male,4
91,Android,116,2.1,912,39,307,40,Female,2
92,Android,291,4.1,1474,46,827,32,Female,3
99,Android,59,1.2,361,18,293,25,Female,1
101,Android,41,1.1,389,15,136,53,Male,1
103,Android,174,2.5,929,37,565,32,Female,2
107,Android,152,2.7,642,38,596,55,Male,2
108,Android,54,1.4,403,17,278,23,Female,1
113,Android,295,5.1,1483,45,748,27,Female,3
120,Android,97,2.7,1018,37,428,41,Male,2
123,Android,584,10.0,2541,99,2391,49,Female,5
124,Android,529,8.1,2686,96,1924,35,Male,5
125,Android,227,5.1,1702,57,714,21,Male,3
128,Android,252,4.2,1439,45,667,50,Female,3
131,Android,540,10.8,2923,90,1886,40,Male,5
133,Android,176,3.6,1193,30,458,40,Female,2
140,Android,516,11.1,2429,91,1796,53,Male,5
142,Android,448,6.3,2044,71,1337,51,Male,4
150,Android,149,3.7,873,34,459,51,Male,2
153,Android,120,2.0,741,38,396,56,Female,2
163,Android,442,7.7,2067,69,1440,45,Male,4
167,Android,595,11.3,2968,88,2366,30,Male,5
168,Android,35,1.5,467,10,158,58,Male,1
169,Android,225,5.4,1370,44,791,55,Female,3
170,Android,587,11.8,2431,90,1894,47,Male,5
172,Android,46,1.1,487,17,208,23,Male,1
176,Android,279,5.2,1660,47,629,50,Female,3
182,Android,474,6.4,2109,68,1079,24,Male,4
186,Android,498,10.7,2738,94,1995,42,Male,5
192,Android,79,1.9,477,13,161,24,Male,1
196,Android,202,4.7,1512,49,659,45,Female,3
204,Android,69,1.6,463,16,146,27,Male,1
207,Android,78,1.7,455,15,207,37,Female,1
208,Android,163,3.1,620,21,419,23,Male,2
210,Android,278,4.6,1385,47,823,40,Female,3
241,Android,45,1.7,302,16,191,57,Female,1
247,Android,71,1.5,590,17,257,33,Male,1
248,Android,314,6.2,2205,63,1066,19,Male,4
250,Android,75,1.9,537,13,230,58,Female,1
253,Android,523,10.5,2460,99,1787,22,Male,5
273,Android,105,2.2,1002,29,453,31,Female,2
274,Android,179,2.3,1014,32,588,38,Male,2
278,Android,230,4.4,1607,52,878,54,Male,3
284,Android,49,1.3,542,16,169,54,Female,1
285,Android,411,6.9,1820,70,1024,43,Male,4
290,Android,84,1.2,415,10,146,50,Male,1
292,Android,55,1.6,360,19,149,30,Male,1
293,Android,59,1.8,497,10,208,36,Female,1
313,Android,132,2.9,1054,32,563,20,Male,2
318,Android,116,2.2,827,29,434,28,Female,2
320,Android,508,11.3,2590,81,2481,51,Male,5
322,Android,274,6.0,1489,56,666,57,Female,3
323,Android,347,6.3,2001,61,1456,21,Female,4
331,Android,233,4.6,1534,49,796,21,Female,3
334,Android,461,7.5,2001,69,1324,34,Female,4
349,Android,156,3.8,866,34,510,26,Male,2
352,Android,60,1.5,593,14,281,35,Female,1
353,Android,225,4.6,1230,52,954,20,Female,3
359,Android,74,2.0,366,13,253,44,Female,1
372,Android,561,10.6,2547,86,1823,22,Male,5
374,Android,560,11.3,2947,95,1663,25,Female,5
378,Android,458,6.0,1875,63,1072,31,Female,4
395,Android,589,9.2,2663,84,1774,45,Female,5
402,Android,97,2.7,612,36,508,53,Male,2
406,Android,478,7.3,2340,69,1017,43,Female,4
410,Android,405,6.9,2366,61,1434,51,Male,4
415,Android,116,2.0,1171,22,573,33,Female,2
433,Android,534,10.4,2672,90,1702,51,Male,5
440,Android,123,3.9,915,39,468,18,Male,2
441,Android,260,5.7,1725,56,920,36,Female,3
443,Android,66,1.1,505,17,218,33,Male,1
450,Android,34,1.2,518,10,170,20,Female,1
454,Android,88,1.3,557,13,164,43,Male,1
468,Android,238,4.0,1414,47,661,41,Female,3
477,Android,318,6.6,2089,77,1126,49,Female,4
490,Android,586,9.3,2403,94,2332,21,Male,5
491,Android,416,6.1,2279,71,1096,47,Male,4
496,Android,493,10.9,2928,88,2116,57,Male,5
499,Android,274,4.5,1356,54,869,53,Male,3
501,Android,66,1.3,369,14,195,32,Male,1
504,Android,200,5.8,1291,50,965,52,Male,3
505,Android,493,8.5,2859,99,2450,47,Male,5
509,Android,267,5.9,1740,45,791,22,Male,3
511,Android,241,5.3,1767,58,976,38,Female,3
522,Android,69,1.1,535,17,250,25,Male,1
527,Android,99,2.4,689,36,318,29,Female,2
529,Android,175,3.0,801,32,338,24,Male,2
530,Android,228,4.8,1639,47,796,42,Female,3
539,Android,576,9.5,2638,98,2281,38,Female,5
543,Android,242,5.4,1307,48,642,28,Male,3
545,Android,544,9.7,2633,97,1727,28,Female,5
549,Android,383,6.6,2155,74,1360,45,Male,4
559,Android,361,7.6,2037,65,1056,55,Male,4
563,Android,71,1.4,508,15,265,33,Female,1
567,Android,116,3.9,1132,26,498,35,Female,2
569,Android,291,5.3,1537,43,700,49,Female,3
570,Android,404,6.6,2181,77,1327,18,Male,4
572,Android,444,6.1,2229,73,1194,25,Female,4
577,Android,554,10.3,2776,83,1606,34,Female,5
584,Android,71,1.9,571,10,117,43,Female,1
592,Android,580,11.5,2767,84,2341,36,Female,5
614,Android,49,1.1,395,16,153,46,Female,1
616,Android,119,3.7,608,36,461,52,Male,2
618,Android,225,5.6,1388,55,965,36,Female,3
622,Android,64,1.8,351,15,274,56,Male,1
631,Android,94,3.1,1078,38,489,25,Male,2
639,Android,417,6.2,2074,63,1135,35,Female,4
640,Android,538,9.8,2778,91,2080,35,Female,5
643,Android,502,8.2,2597,90,1553,27,Male,5
645,Android,186,4.8,1494,53,949,20,Female,3
651,Android,149,2.0,1041,39,356,49,Male,2
655,Android,594,10.5,2839,91,1647,56,Male,5
656,Android,104,3.7,1028,29,493,39,Male,2
657,Android,262,5.6,1489,59,628,54,Female,3
661,Android,50,1.5,387,12,146,59,Male,1
664,Android,469,6.4,1858,78,1297,55,Female,4
672,Android,468,7.3,1937,64,1209,22,Male,4
674,Android,37,1.6,490,18,216,52,Male,1
679,Android,298,4.6,1525,59,814,36,Female,3
681,Android,307,6.1,2105,76,1111,25,Female,4
685,Android,218,4.0,1221,47,822,25,Male,3
687,Android,335,7.7,2037,68,1007,18,Male,4
689,Android,261,4.9,1589,56,824,52,Female,3
691,Android,195,5.7,1447,48,679,30,Male,3
698,Android,99,3.1,942,22,457,50,Female,2
