User ID,Operating System,App Usage Time (min/day),Screen On Time (hours/day),Battery Drain (mAh/day),Number of Apps Installed,Data Usage (MB/day),Age,Gender,User Behavior Class
2,Android,268,4.7,1331,42,944,47,Female,3
8,Android,543,11.4,2956,82,1702,31,Male,5
12,Android,215,5.5,1690,47,641,24,Male,3
13,Android,462,6.2,2303,65,1099,57,Female,4
17,Android,132,3.6,628,32,344,47,Female,2
22,Android,576,11.6,2803,82,1553,43,Female,5
25,Android,216,4.0,1711,59,748,58,Male,3
29,Android,452,6.8,2387,77,1456,55,Female,4
39,Android,473,6.4,2312,74,1400,40,Male,4
42,Android,576,10.1,2447,83,2323,33,Male,5
47,Android,558,8.4,2447,97,1594,22,Female,5
50,Android,589,8.7,2736,82,1997,49,Male,5
57,Android,64,1.1,572,10,161,42,Female,1
58,Android,539,8.4,2796,89,2415,26,Male,5
81,Android,565,10.6,2475,99,1603,51,Female,5
98,Android,516,12.0,2406,82,1968,28,Female,5
100,Android,225,5.5,1526,44,875,50,Female,3
102,Android,183,4.1,1210,45,738,19,Male,3
110,Android,216,6.0,1641,41,889,39,Female,3
111,Android,95,3.8,718,26,459,41,Female,2
122,Android,529,8.7,2484,89,2189,39,Female,5
149,Android,228,4.2,1677,58,823,56,Male,3
154,Android,329,7.5,2277,72,1185,27,Female,4
173,Android,153,2.8,935,25,578,37,Female,2
181,Android,151,2.4,1124,38,571,33,Male,2
188,Android,75,1.1,379,15,185,37,Male,1
197,Android,215,4.4,1407,41,991,47,Male,3
198,Android,151,3.7,1116,32,320,41,Female,2
199,Android,80,1.6,549,14,197,19,Male,1
205,Android,100,3.3,961,21,433,25,Male,2
209,Android,539,9.3,2606,92,1990,41,Male,5
216,Android,553,8.4,2559,89,2471,51,Male,5
218,Android,555,9.5,2855,95,1565,24,Male,5
221,Android,433,6.8,2093,75,1300,32,Male,4
222,Android,133,2.0,1007,31,417,32,Male,2
225,Android,92,2.5,690,31,563,27,Male,2
234,Android,129,3.4,1059,27,580,36,Female,2
238,Android,425,6.9,2142,66,1130,19,Female,4
239,Android,64,1.7,585,13,107,53,Male,1
243,Android,162,3.5,761,36,338,51,Male,2
245,Android,30,1.3,479,16,253,35,Male,1
251,Android,42,1.4,324,13,272,29,Female,1
252,Android,441,7.9,2332,78,1477,23,Female,4
255,Android,52,1.2,398,14,172,24,Female,1
256,Android,397,7.0,2352,77,1101,46,Female,4
268,Android,584,9.4,2766,84,2151,32,Male,5
272,Android,284,4.2,1360,56,888,51,Male,3
276,Android,501,11.9,2702,88,1738,49,Male,5
286,Android,534,10.8,2805,90,1538,37,Male,5
289,Android,121,3.7,619,36,473,47,Male,2
291,Android,448,7.6,2199,66,1047,28,Male,4
296,Android,65,1.8,481,18,130,41,Male,1
297,Android,458,6.6,2214,67,1163,31,Female,4
306,Android,106,2.8,686,32,594,27,Male,2
307,Android,243,5.0,1232,47,877,43,Male,3
308,Android,410,7.5,2176,68,1213,45,Female,4
310,Android,397,6.8,2027,66,1167,40,Male,4
316,Android,74,2.0,320,11,103,55,Female,1
317,Android,299,4.3,1737,43,953,42,Female,3
319,Android,408,6.6,2026,63,1076,47,Female,4
326,Android,203,4.3,1554,54,638,25,Female,3
328,Android,48,2.0,574,18,127,24,Female,1
329,Android,88,1.6,420,12,274,31,Female,1
333,Android,191,6.0,1762,45,904,54,Male,3
336,Android,531,9.8,2905,99,1632,45,Female,5
347,Android,156,3.3,1020,38,447,57,Female,2
355,Android,53,1.4,455,14,106,54,Female,1
362,Android,557,10.4,2900,97,1609,22,Male,5
366,Android,382,7.2,1965,67,1341,22,Male,4
368,Android,598,11.2,2876,85,2477,58,Female,5
369,Android,102,3.9,747,36,408,49,Female,2
375,Android,69,1.3,434,12,164,42,Male,1
376,Android,44,1.1,531,17,232,26,Male,1
380,Android,106,3.0,922,22,313,51,Male,2
383,Android,84,1.5,373,19,299,37,Female,1
384,Android,104,2.9,653,35,322,30,Male,2
387,Android,98,2.0,925,32,457,28,Male,2
391,Android,311,7.9,2231,69,1021,36,Male,4
392,Android,337,6.1,1901,76,1359,58,Male,4
399,Android,41,1.6,323,18,221,43,Female,1
400,Android,49,1.5,571,10,203,29,Male,1
408,Android,395,7.3,2291,61,1049,55,Female,4
413,Android,257,5.1,1692,46,769,52,Female,3
425,Android,201,5.0,1482,59,709,24,Male,3
427,Android,98,2.4,747,36,403,44,Female,2
428,Android,105,3.8,967,28,489,51,Male,2
434,Android,46,2.0,309,15,116,42,Male,1
437,Android,221,4.4,1341,46,862,20,Male,3
439,Android,105,3.0,728,24,343,52,Female,2
447,Android,546,8.8,2852,81,1641,24,Male,5
452,Android,591,11.8,2953,92,1903,52,Male,5
458,Android,234,4.7,1707,55,871,46,Male,3
460,Android,174,2.4,639,37,545,50,Male,2
466,Android,265,4.8,1770,51,723,55,Female,3
479,Android,258,4.3,1759,59,718,41,Female,3
494,Android,329,6.8,1892,69,1383,23,Male,4
514,Android,110,3.4,975,31,507,57,Female,2
516,Android,126,2.2,1187,28,599,25,Male,2
519,Android,574,8.5,2780,87,1809,34,Female,5
520,Android,119,2.2,1123,22,371,51,Male,2
521,Android,350,6.5,2364,75,1485,20,Male,4
532,Android,339,7.9,1987,66,1191,47,Male,4
535,Android,389,6.1,2087,67,1383,30,Male,4
540,Android,592,9.4,2867,95,1701,27,Female,5
546,Android,50,2.0,362,17,182,34,Female,1
547,Android,236,4.6,1750,45,971,21,Female,3
560,Android,553,11.6,2914,81,1860,47,Male,5
568,Android,86,1.7,312,16,227,32,Male,1
571,Android,441,7.1,1928,74,1421,57,Male,4
573,Android,211,5.9,1757,42,864,56,Female,3
579,Android,257,6.0,1715,49,916,40,Female,3
585,Android,73,1.3,538,19,175,30,Female,1
586,Android,149,3.1,1191,28,563,29,Male,2
589,Android,424,7.5,1995,75,1228,36,Male,4
596,Android,512,10.5,2538,82,1694,41,Male,5
598,Android,140,2.5,825,31,347,59,Male,2
602,Android,83,1.2,545,15,284,44,Male,1
603,Android,122,3.0,922,32,373,43,Male,2
604,Android,138,2.1,660,22,424,41,Female,2
605,Android,182,5.3,1278,42,885,54,Female,3
606,Android,425,6.0,1928,72,1150,53,Female,4
607,Android,580,10.4,2496,81,2441,37,Female,5
617,Android,288,5.4,1476,49,767,36,Female,3
619,Android,342,7.0,1826,71,1077,26,Female,4
624,Android,42,1.8,417,15,284,21,Male,1
626,Android,55,1.8,328,12,196,31,Female,1
634,Android,138,3.2,1142,31,366,29,Female,2
637,Android,510,10.7,2433,90,1729,47,Male,5
642,Android,50,1.4,443,16,255,26,Female,1
644,Android,105,3.3,723,35,566,46,Male,2
677,Android,141,3.8,689,38,576,34,Male,2
688,Android,387,6.3,2098,61,1178,54,Male,4
700,Android,212,5.4,1306,49,828,23,Female,3
