User ID,Operating System,App Usage Time (min/day),Screen On Time (hours/day),Battery Drain (mAh/day),Number of Apps Installed,Data Usage (MB/day),Age,Gender,User Behavior Class
7,Android,350,7.3,1802,66,1054,21,Female,4
9,Android,340,7.7,2138,75,1053,42,Female,4
21,Android,93,2.6,681,37,302,45,Female,2
23,Android,423,6.5,2094,65,1372,23,Female,4
26,Android,91,3.4,1073,38,451,52,Male,2
30,Android,412,6.2,1899,78,1384,19,Female,4
36,Android,32,1.2,580,19,153,20,Female,1
38,Android,522,11.2,2808,93,2328,24,Male,5
40,Android,398,6.2,1851,77,1180,23,Male,4
43,Android,120,2.1,720,39,392,43,Male,2
44,Android,152,3.7,993,32,429,18,Male,2
48,Android,138,3.6,889,25,323,27,Female,2
53,Android,125,2.7,690,28,393,27,Female,2
65,Android,459,7.0,1982,67,1091,43,Male,4
71,Android,452,7.2,1808,64,1090,45,Female,4
79,Android,78,1.8,333,17,138,51,Female,1
87,Android,151,2.4,1003,25,392,39,Male,2
88,Android,34,1.5,345,11,276,44,Male,1
90,Android,301,6.2,2053,75,1303,45,Male,4
95,Android,411,7.5,2169,72,1083,58,Male,4
114,Android,136,3.2,818,33,404,42,Male,2
119,Android,82,1.6,590,13,124,28,Female,1
121,Android,388,6.6,2085,71,1150,45,Female,4
126,Android,535,11.8,2858,99,2378,50,Male,5
134,Android,79,1.0,313,18,139,42,Male,1
137,Android,66,1.7,375,16,216,39,Male,1
139,Android,497,9.7,2876,94,2076,18,Male,5
144,Android,68,1.1,528,12,201,29,Male,1
147,Android,443,7.4,2289,73,1026,33,Male,4
152,Android,42,1.6,315,19,207,52,Female,1
159,Android,304,6.5,2375,79,1493,51,Male,4
161,Android,64,1.6,540,19,262,35,Female,1
178,Android,193,5.7,1471,51,972,31,Female,3
190,Android,42,1.1,402,11,265,32,Female,1
195,Android,473,6.4,2109,79,1300,23,Female,4
201,Android,495,8.9,2920,84,2252,31,Female,5
211,Android,451,6.1,2108,76,1434,25,Female,4
212,Android,481,10.9,2752,86,2017,18,Male,5
213,Android,133,3.4,714,38,445,25,Male,2
224,Android,532,10.7,2556,83,2148,53,Female,5
229,Android,132,3.8,649,25,368,41,Male,2
230,Android,360,7.3,1946,79,1164,50,Male,4
237,Android,524,8.9,2549,88,1730,20,Female,5
244,Android,451,6.5,2378,69,1341,44,Male,4
246,Android,202,5.0,1542,45,844,29,Male,3
264,Android,70,1.7,359,10,109,57,Male,1
269,Android,208,4.7,1642,45,861,55,Male,3
270,Android,381,6.6,2160,69,1450,20,Male,4
280,Android,411,7.8,2029,75,1136,33,Female,4
281,Android,73,1.7,403,12,163,51,Male,1
287,Android,314,7.4,2136,64,1376,47,Female,4
295,Android,580,8.5,2660,87,1795,52,Male,5
311,Android,230,4.2,1507,51,868,25,Female,3
327,Android,199,6.0,1707,57,881,55,Male,3
335,Android,37,1.5,375,18,246,46,Female,1
337,Android,473,7.9,2292,62,1472,44,Male,4
338,Android,30,1.3,561,15,252,34,Male,1
348,Android,62,1.4,542,18,266,46,Male,1
350,Android,303,7.4,2314,66,1387,34,Male,4
351,Android,463,6.9,2111,73,1463,54,Male,4
354,Android,379,7.5,1823,68,1075,53,Female,4
356,Android,30,1.9,574,19,287,45,Male,1
360,Android,230,4.6,1325,55,845,54,Female,3
361,Android,517,11.8,2435,86,2208,26,Male,5
373,Android,511,10.9,2514,91,2335,59,Female,5
379,Android,525,10.8,2445,99,1623,57,Male,5
385,Android,102,3.0,890,38,548,28,Male,2
388,Android,72,1.3,461,13,199,32,Male,1
393,Android,168,3.5,1055,29,313,54,Male,2
404,Android,566,8.6,2595,89,1657,51,Female,5
409,Android,357,7.8,2289,74,1242,22,Female,4
411,Android,501,11.8,2790,86,2074,31,Female,5
418,Android,572,11.7,2655,91,2481,57,Female,5
426,Android,130,2.8,1062,24,579,37,Male,2
442,Android,223,5.7,1295,44,751,39,Male,3
446,Android,378,7.2,1859,61,1318,58,Male,4
448,Android,234,5.2,1604,58,919,58,Male,3
449,Android,152,3.0,617,22,306,22,Female,2
