User ID,Operating System,App Usage Time (min/day),Screen On Time (hours/day),Battery Drain (mAh/day),Number of Apps Installed,Data Usage (MB/day),Age,Gender,User Behavior Class
450.0,Android,34.0,1.2,518.0,10.0,170.0,20.0,Female,1.0
168.0,Android,35.0,1.5,467.0,10.0,158.0,58.0,Male,1.0
674.0,Android,37.0,1.6,490.0,18.0,216.0,52.0,Male,1.0
101.0,Android,41.0,1.1,389.0,15.0,136.0,53.0,Male,1.0
241.0,Android,45.0,1.7,302.0,16.0,191.0,57.0,Female,1.0
172.0,Android,46.0,1.1,487.0,17.0,208.0,23.0,Male,1.0
284.0,Android,49.0,1.3,542.0,16.0,169.0,54.0,Female,1.0
661.0,Android,50.0,1.5,387.0,12.0,146.0,59.0,Male,1.0
11.0,Android,53.0,1.4,435.0,17.0,162.0,34.0,Female,1.0
108.0,Android,54.0,1.4,403.0,17.0,278.0,23.0,Female,1.0
292.0,Android,55.0,1.6,360.0,19.0,149.0,30.0,Male,1.0
293.0,Android,59.0,1.8,497.0,10.0,208.0,36.0,Female,1.0
352.0,Android,60.0,1.5,593.0,14.0,281.0,35.0,Female,1.0
622.0,Android,64.0,1.8,351.0,15.0,274.0,56.0,Male,1.0
443.0,Android,66.0,1.1,505.0,17.0,218.0,33.0,Male,1.0
522.0,Android,69.0,1.1,535.0,17.0,250.0,25.0,Male,1.0
247.0,Android,71.0,1.5,590.0,17.0,257.0,33.0,Male,1.0
359.0,Android,74.0,2.0,366.0,13.0,253.0,44.0,Female,1.0
250.0,Android,75.0,1.9,537.0,13.0,230.0,58.0,Female,1.0
207.0,Android,78.0,1.7,455.0,15.0,207.0,37.0,Female,1.0
192.0,Android,79.0,1.9,477.0,13.0,161.0,24.0,Male,1.0
19.0,Android,81.0,1.4,558.0,16.0,297.0,26.0,Female,1.0
70.0,Android,82.0,1.7,558.0,16.0,284.0,29.0,Female,1.0
290.0,Android,84.0,1.2,415.0,10.0,146.0,50.0,Male,1.0
