User ID,Operating System,App Usage Time (min/day),Screen On Time (hours/day),Battery Drain (mAh/day),Number of Apps Installed,Data Usage (MB/day),Age,Gender,User Behavior Class
356.0,Android,30.0,1.9,574.0,19.0,287.0,45.0,Male,1.0
36.0,Android,32.0,1.2,580.0,19.0,153.0,20.0,Female,1.0
88.0,Android,34.0,1.5,345.0,11.0,276.0,44.0,Male,1.0
513.0,Android,36.0,1.6,442.0,17.0,249.0,34.0,Male,1.0
335.0,Android,37.0,1.5,375.0,18.0,246.0,46.0,Female,1.0
190.0,Android,42.0,1.1,402.0,11.0,265.0,32.0,Female,1.0
580.0,Android,47.0,1.1,532.0,18.0,122.0,36.0,Male,1.0
654.0,Android,49.0,1.2,365.0,19.0,144.0,29.0,Male,1.0
566.0,Android,60.0,1.3,462.0,15.0,296.0,40.0,Male,1.0
348.0,Android,62.0,1.4,542.0,18.0,266.0,46.0,Male,1.0
641.0,Android,63.0,1.8,321.0,11.0,271.0,42.0,Male,1.0
161.0,Android,64.0,1.6,540.0,19.0,262.0,35.0,Female,1.0
137.0,Android,66.0,1.7,375.0,16.0,216.0,39.0,Male,1.0
144.0,Android,68.0,1.1,528.0,12.0,201.0,29.0,Male,1.0
264.0,Android,70.0,1.7,359.0,10.0,109.0,57.0,Male,1.0
388.0,Android,72.0,1.3,461.0,13.0,199.0,32.0,Male,1.0
281.0,Android,73.0,1.7,403.0,12.0,163.0,51.0,Male,1.0
684.0,Android,75.0,1.6,325.0,12.0,225.0,45.0,Male,1.0
79.0,Android,78.0,1.8,333.0,17.0,138.0,51.0,Female,1.0
134.0,Android,79.0,1.0,313.0,18.0,139.0,42.0,Male,1.0
119.0,Android,82.0,1.6,590.0,13.0,124.0,28.0,Female,1.0
647.0,Android,89.0,1.3,314.0,16.0,201.0,58.0,Female,1.0
26.0,Android,91.0,3.4,1073.0,38.0,451.0,52.0,Male,2.0
21.0,Android,93.0,2.6,681.0,37.0,302.0,45.0,Female,2.0
576.0,Android,94.0,3.5,606.0,30.0,446.0,49.0,Male,2.0
636.0,Android,96.0,3.4,1198.0,39.0,401.0,48.0,Female,2.0
385.0,Android,102.0,3.0,890.0,38.0,548.0,28.0,Male,2.0
615.0,Android,106.0,4.0,1158.0,23.0,493.0,18.0,Male,2.0
495.0,Android,107.0,2.5,1176.0,24.0,545.0,29.0,Female,2.0
590.0,Android,111.0,3.6,627.0,26.0,464.0,39.0,Female,2.0
599.0,Android,114.0,3.0,1131.0,31.0,596.0,28.0,Male,2.0
678.0,Android,115.0,3.5,706.0,26.0,495.0,52.0,Female,2.0
453.0,Android,120.0,3.3,734.0,35.0,583.0,26.0,Male,2.0
462.0,Android,123.0,3.3,938.0,36.0,438.0,55.0,Male,2.0
53.0,Android,125.0,2.7,690.0,28.0,393.0,27.0,Female,2.0
426.0,Android,130.0,2.8,1062.0,24.0,579.0,37.0,Male,2.0
229.0,Android,132.0,3.8,649.0,25.0,368.0,41.0,Male,2.0
213.0,Android,133.0,3.4,714.0,38.0,445.0,25.0,Male,2.0
114.0,Android,136.0,3.2,818.0,33.0,404.0,42.0,Male,2.0
48.0,Android,138.0,3.6,889.0,25.0,323.0,27.0,Female,2.0
536.0,Android,139.0,3.3,937.0,24.0,573.0,25.0,Female,2.0
582.0,Android,148.0,2.7,625.0,34.0,416.0,27.0,Male,2.0
87.0,Android,151.0,2.4,1003.0,25.0,392.0,39.0,Male,2.0
44.0,Android,152.0,3.7,993.0,32.0,429.0,18.0,Male,2.0
552.0,Android,157.0,2.5,1110.0,30.0,373.0,37.0,Female,2.0
591.0,Android,159.0,3.7,630.0,33.0,575.0,30.0,Male,2.0
670.0,Android,160.0,3.2,648.0,31.0,339.0,27.0,Female,2.0
393.0,Android,168.0,3.5,1055.0,29.0,313.0,54.0,Male,2.0
550.0,Android,172.0,4.0,1047.0,32.0,508.0,21.0,Female,2.0
451.0,Android,179.0,3.5,1114.0,30.0,466.0,56.0,Male,2.0
480.0,Android,189.0,4.8,1681.0,59.0,795.0,57.0,Male,3.0
600.0,Android,192.0,4.3,1382.0,42.0,905.0,47.0,Female,3.0
178.0,Android,193.0,5.7,1471.0,51.0,972.0,31.0,Female,3.0
558.0,Android,198.0,4.2,1392.0,43.0,640.0,27.0,Male,3.0
327.0,Android,199.0,6.0,1707.0,57.0,881.0,55.0,Male,3.0
246.0,Android,202.0,5.0,1542.0,45.0,844.0,29.0,Male,3.0
668.0,Android,205.0,5.5,1699.0,49.0,729.0,36.0,Male,3.0
269.0,Android,208.0,4.7,1642.0,45.0,861.0,55.0,Male,3.0
463.0,Android,216.0,5.9,1789.0,54.0,987.0,55.0,Male,3.0
594.0,Android,217.0,4.2,1500.0,42.0,677.0,26.0,Female,3.0
442.0,Android,223.0,5.7,1295.0,44.0,751.0,39.0,Male,3.0
