User ID,Operating System,App Usage Time (min/day),Screen On Time (hours/day),Battery Drain (mAh/day),Number of Apps Installed,Data Usage (MB/day),Age,Gender,User Behavior Class
74.0,Android,31.0,1.1,585.0,11.0,208.0,50.0,Female,1.0
508.0,Android,33.0,2.0,318.0,11.0,173.0,42.0,Female,1.0
77.0,Android,34.0,2.0,558.0,14.0,122.0,54.0,Female,1.0
236.0,Android,37.0,1.4,369.0,18.0,295.0,19.0,Female,1.0
470.0,Android,39.0,1.9,541.0,16.0,294.0,37.0,Male,1.0
214.0,Android,41.0,1.1,588.0,10.0,246.0,22.0,Male,1.0
424.0,Android,46.0,1.1,536.0,18.0,167.0,28.0,Female,1.0
629.0,Android,47.0,1.2,437.0,18.0,234.0,55.0,Male,1.0
175.0,Android,51.0,1.6,509.0,11.0,113.0,29.0,Female,1.0
148.0,Android,52.0,1.6,385.0,19.0,234.0,24.0,Male,1.0
162.0,Android,53.0,1.9,526.0,15.0,112.0,42.0,Male,1.0
612.0,Android,57.0,1.3,489.0,16.0,131.0,37.0,Male,1.0
261.0,Android,64.0,1.3,490.0,14.0,151.0,43.0,Female,1.0
106.0,Android,66.0,1.2,585.0,12.0,264.0,36.0,Male,1.0
465.0,Android,68.0,1.3,583.0,10.0,281.0,26.0,Female,1.0
324.0,Android,76.0,1.3,490.0,14.0,156.0,31.0,Female,1.0
484.0,Android,78.0,1.6,470.0,18.0,230.0,49.0,Female,1.0
63.0,Android,79.0,1.9,493.0,14.0,128.0,55.0,Male,1.0
486.0,Android,80.0,1.1,417.0,18.0,298.0,36.0,Male,1.0
676.0,Android,81.0,1.5,545.0,17.0,159.0,40.0,Male,1.0
638.0,Android,83.0,1.1,546.0,10.0,289.0,32.0,Female,1.0
279.0,Android,85.0,1.6,417.0,12.0,122.0,47.0,Male,1.0
157.0,Android,86.0,1.7,439.0,19.0,136.0,54.0,Male,1.0
493.0,Android,87.0,1.5,594.0,19.0,198.0,36.0,Female,1.0
203.0,Android,88.0,1.3,327.0,11.0,262.0,22.0,Male,1.0
171.0,Android,92.0,3.7,1124.0,27.0,524.0,44.0,Male,2.0
429.0,Android,94.0,2.3,1033.0,33.0,369.0,58.0,Male,2.0
54.0,Android,97.0,2.2,1101.0,38.0,375.0,53.0,Male,2.0
254.0,Android,100.0,2.4,982.0,31.0,478.0,48.0,Female,2.0
220.0,Android,101.0,3.2,603.0,28.0,417.0,43.0,Male,2.0
436.0,Android,105.0,3.4,798.0,21.0,467.0,34.0,Female,2.0
390.0,Android,119.0,2.8,775.0,31.0,313.0,50.0,Female,2.0
517.0,Android,120.0,3.8,940.0,36.0,535.0,44.0,Male,2.0
562.0,Android,121.0,2.1,1188.0,21.0,578.0,18.0,Male,2.0
300.0,Android,122.0,3.3,748.0,35.0,499.0,59.0,Female,2.0
129.0,Android,125.0,2.5,678.0,34.0,465.0,31.0,Male,2.0
200.0,Android,126.0,2.8,971.0,32.0,431.0,35.0,Female,2.0
663.0,Android,130.0,3.2,1189.0,37.0,448.0,45.0,Male,2.0
160.0,Android,131.0,2.4,859.0,26.0,305.0,40.0,Male,2.0
68.0,Android,134.0,4.0,773.0,35.0,449.0,28.0,Female,2.0
89.0,Android,137.0,3.3,839.0,31.0,348.0,34.0,Female,2.0
662.0,Android,138.0,3.1,947.0,29.0,545.0,48.0,Male,2.0
473.0,Android,139.0,3.0,697.0,37.0,513.0,26.0,Female,2.0
407.0,Android,147.0,3.2,994.0,33.0,567.0,25.0,Female,2.0
3.0,Android,154.0,4.0,761.0,32.0,322.0,42.0,Male,2.0
156.0,Android,158.0,3.4,893.0,36.0,493.0,32.0,Male,2.0
105.0,Android,166.0,2.8,1113.0,28.0,360.0,25.0,Male,2.0
249.0,Android,168.0,4.0,866.0,22.0,581.0,50.0,Female,2.0
646.0,Android,174.0,2.9,1197.0,23.0,345.0,20.0,Female,2.0
650.0,Android,186.0,5.4,1627.0,58.0,790.0,31.0,Female,3.0
109.0,Android,187.0,5.5,1754.0,55.0,711.0,50.0,Female,3.0
683.0,Android,190.0,5.5,1718.0,58.0,815.0,42.0,Male,3.0
587.0,Android,197.0,4.4,1665.0,44.0,608.0,43.0,Female,3.0
259.0,Android,201.0,4.0,1791.0,50.0,914.0,18.0,Male,3.0
419.0,Android,202.0,4.9,1549.0,43.0,964.0,27.0,Female,3.0
608.0,Android,203.0,4.0,1323.0,56.0,787.0,21.0,Male,3.0
653.0,Android,206.0,5.2,1632.0,47.0,694.0,30.0,Male,3.0
179.0,Android,207.0,5.7,1582.0,52.0,692.0,38.0,Male,3.0
475.0,Android,210.0,4.9,1657.0,55.0,765.0,49.0,Female,3.0
288.0,Android,211.0,4.0,1519.0,54.0,811.0,29.0,Female,3.0
14.0,Android,215.0,4.9,1662.0,43.0,857.0,43.0,Male,3.0
141.0,Android,219.0,5.2,1510.0,42.0,655.0,50.0,Female,3.0
294.0,Android,226.0,4.5,1781.0,45.0,649.0,27.0,Female,3.0
76.0,Android,229.0,5.7,1305.0,43.0,985.0,23.0,Female,3.0
