User ID,Operating System,App Usage Time (min/day),Screen On Time (hours/day),Battery Drain (mAh/day),Number of Apps Installed,Data Usage (MB/day),Age,Gender,User Behavior Class
164.0,iOS,32.0,2.0,469.0,18.0,139.0,22.0,Male,1.0
680.0,iOS,33.0,1.8,334.0,16.0,113.0,36.0,Female,1.0
438.0,iOS,41.0,1.7,408.0,16.0,291.0,34.0,Male,1.0
528.0,iOS,44.0,1.2,466.0,10.0,131.0,57.0,Female,1.0
564.0,iOS,46.0,1.6,440.0,10.0,265.0,31.0,Male,1.0
75.0,iOS,47.0,2.0,476.0,14.0,125.0,39.0,Male,1.0
459.0,iOS,56.0,1.0,547.0,10.0,142.0,58.0,Female,1.0
518.0,iOS,64.0,1.2,592.0,19.0,218.0,25.0,Male,1.0
377.0,iOS,65.0,1.7,490.0,17.0,122.0,51.0,Female,1.0
648.0,iOS,66.0,1.5,565.0,17.0,283.0,42.0,Female,1.0
56.0,iOS,68.0,1.6,450.0,14.0,111.0,30.0,Male,1.0
652.0,iOS,69.0,1.7,519.0,10.0,167.0,51.0,Female,1.0
184.0,iOS,73.0,1.2,308.0,15.0,275.0,39.0,Female,1.0
457.0,iOS,74.0,1.6,587.0,15.0,275.0,27.0,Female,1.0
341.0,iOS,75.0,1.0,435.0,13.0,223.0,43.0,Male,1.0
671.0,iOS,81.0,1.6,387.0,13.0,224.0,48.0,Male,1.0
420.0,iOS,83.0,1.4,454.0,11.0,228.0,46.0,Male,1.0
93.0,iOS,84.0,1.4,501.0,16.0,284.0,56.0,Female,1.0
696.0,iOS,92.0,3.9,1082.0,26.0,381.0,22.0,Male,2.0
416.0,iOS,98.0,2.3,608.0,24.0,394.0,56.0,Male,2.0
498.0,iOS,102.0,2.9,918.0,37.0,362.0,20.0,Female,2.0
116.0,iOS,121.0,3.2,651.0,34.0,596.0,39.0,Male,2.0
37.0,iOS,122.0,3.3,755.0,30.0,573.0,26.0,Male,2.0
202.0,iOS,127.0,3.7,1153.0,35.0,314.0,37.0,Female,2.0
189.0,iOS,130.0,2.0,602.0,21.0,589.0,30.0,Female,2.0
487.0,iOS,131.0,3.8,739.0,34.0,330.0,57.0,Female,2.0
235.0,iOS,132.0,3.8,636.0,28.0,529.0,53.0,Male,2.0
94.0,iOS,134.0,2.5,1125.0,24.0,367.0,35.0,Male,2.0
548.0,iOS,139.0,2.6,658.0,33.0,358.0,58.0,Female,2.0
432.0,iOS,140.0,3.8,1137.0,36.0,506.0,53.0,Male,2.0
557.0,iOS,142.0,3.5,625.0,25.0,370.0,40.0,Female,2.0
455.0,iOS,143.0,3.9,1160.0,24.0,398.0,45.0,Male,2.0
215.0,iOS,152.0,3.3,1175.0,29.0,461.0,42.0,Female,2.0
305.0,iOS,155.0,2.9,1117.0,22.0,322.0,19.0,Female,2.0
143.0,iOS,156.0,2.2,896.0,37.0,429.0,57.0,Female,2.0
231.0,iOS,159.0,2.3,1083.0,32.0,526.0,38.0,Male,2.0
370.0,iOS,165.0,2.4,816.0,35.0,503.0,34.0,Male,2.0
422.0,iOS,168.0,3.2,716.0,38.0,414.0,43.0,Male,2.0
669.0,iOS,170.0,2.4,1039.0,38.0,334.0,23.0,Male,2.0
82.0,iOS,172.0,2.8,1035.0,22.0,549.0,41.0,Male,2.0
553.0,iOS,173.0,3.8,605.0,23.0,583.0,32.0,Male,2.0
332.0,iOS,176.0,3.8,727.0,36.0,362.0,47.0,Female,2.0
