User ID,Operating System,App Usage Time (min/day),Screen On Time (hours/day),Battery Drain (mAh/day),Number of Apps Installed,Data Usage (MB/day),Age,Gender,User Behavior Class
57.0,Android,64.0,1.1,572.0,10.0,161.0,42.0,Female,1.0
602.0,Android,83.0,1.2,545.0,15.0,284.0,44.0,Male,1.0
585.0,Android,73.0,1.3,538.0,19.0,175.0,30.0,Female,1.0
355.0,Android,53.0,1.4,455.0,14.0,106.0,54.0,Female,1.0
400.0,Android,49.0,1.5,571.0,10.0,203.0,29.0,Male,1.0
199.0,Android,80.0,1.6,549.0,14.0,197.0,19.0,Male,1.0
239.0,Android,64.0,1.7,585.0,13.0,107.0,53.0,Male,1.0
296.0,Android,65.0,1.8,481.0,18.0,130.0,41.0,Male,1.0
222.0,Android,133.0,2.0,1007.0,31.0,417.0,32.0,Male,2.0
604.0,Android,138.0,2.1,660.0,22.0,424.0,41.0,Female,2.0
516.0,Android,126.0,2.2,1187.0,28.0,599.0,25.0,Male,2.0
181.0,Android,151.0,2.4,1124.0,38.0,571.0,33.0,Male,2.0
598.0,Android,140.0,2.5,825.0,31.0,347.0,59.0,Male,2.0
173.0,Android,153.0,2.8,935.0,25.0,578.0,37.0,Female,2.0
384.0,Android,104.0,2.9,653.0,35.0,322.0,30.0,Male,2.0
380.0,Android,106.0,3.0,922.0,22.0,313.0,51.0,Male,2.0
586.0,Android,149.0,3.1,1191.0,28.0,563.0,29.0,Male,2.0
634.0,Android,138.0,3.2,1142.0,31.0,366.0,29.0,Female,2.0
347.0,Android,156.0,3.3,1020.0,38.0,447.0,57.0,Female,2.0
234.0,Android,129.0,3.4,1059.0,27.0,580.0,36.0,Female,2.0
243.0,Android,162.0,3.5,761.0,36.0,338.0,51.0,Male,2.0
17.0,Android,132.0,3.6,628.0,32.0,344.0,47.0,Female,2.0
198.0,Android,151.0,3.7,1116.0,32.0,320.0,41.0,Female,2.0
428.0,Android,105.0,3.8,967.0,28.0,489.0,51.0,Male,2.0
369.0,Android,102.0,3.9,747.0,36.0,408.0,49.0,Female,2.0
25.0,Android,216.0,4.0,1711.0,59.0,748.0,58.0,Male,3.0
102.0,Android,183.0,4.1,1210.0,45.0,738.0,19.0,Male,3.0
149.0,Android,228.0,4.2,1677.0,58.0,823.0,56.0,Male,3.0
479.0,Android,258.0,4.3,1759.0,59.0,718.0,41.0,Female,3.0
197.0,Android,215.0,4.4,1407.0,41.0,991.0,47.0,Male,3.0
547.0,Android,236.0,4.6,1750.0,45.0,971.0,21.0,Female,3.0
