User ID,Operating System,App Usage Time (min/day),Screen On Time (hours/day),Battery Drain (mAh/day),Number of Apps Installed,Data Usage (MB/day),Age,Gender,User Behavior Class
134.0,Android,79.0,1.0,313.0,18.0,139.0,42.0,Male,1.0
580.0,Android,47.0,1.1,532.0,18.0,122.0,36.0,Male,1.0
36.0,Android,32.0,1.2,580.0,19.0,153.0,20.0,Female,1.0
338.0,Android,30.0,1.3,561.0,15.0,252.0,34.0,Male,1.0
348.0,Android,62.0,1.4,542.0,18.0,266.0,46.0,Male,1.0
335.0,Android,37.0,1.5,375.0,18.0,246.0,46.0,Female,1.0
119.0,Android,82.0,1.6,590.0,13.0,124.0,28.0,Female,1.0
699.0,Android,62.0,1.7,431.0,13.0,224.0,44.0,Male,1.0
79.0,Android,78.0,1.8,333.0,17.0,138.0,51.0,Female,1.0
356.0,Android,30.0,1.9,574.0,19.0,287.0,45.0,Male,1.0
43.0,Android,120.0,2.1,720.0,39.0,392.0,43.0,Male,2.0
87.0,Android,151.0,2.4,1003.0,25.0,392.0,39.0,Male,2.0
495.0,Android,107.0,2.5,1176.0,24.0,545.0,29.0,Female,2.0
21.0,Android,93.0,2.6,681.0,37.0,302.0,45.0,Female,2.0
53.0,Android,125.0,2.7,690.0,28.0,393.0,27.0,Female,2.0
426.0,Android,130.0,2.8,1062.0,24.0,579.0,37.0,Male,2.0
599.0,Android,114.0,3.0,1131.0,31.0,596.0,28.0,Male,2.0
114.0,Android,136.0,3.2,818.0,33.0,404.0,42.0,Male,2.0
462.0,Android,123.0,3.3,938.0,36.0,438.0,55.0,Male,2.0
636.0,Android,96.0,3.4,1198.0,39.0,401.0,48.0,Female,2.0
451.0,Android,179.0,3.5,1114.0,30.0,466.0,56.0,Male,2.0
48.0,Android,138.0,3.6,889.0,25.0,323.0,27.0,Female,2.0
44.0,Android,152.0,3.7,993.0,32.0,429.0,18.0,Male,2.0
229.0,Android,132.0,3.8,649.0,25.0,368.0,41.0,Male,2.0
615.0,Android,106.0,4.0,1158.0,23.0,493.0,18.0,Male,2.0
311.0,Android,230.0,4.2,1507.0,51.0,868.0,25.0,Female,3.0
600.0,Android,192.0,4.3,1382.0,42.0,905.0,47.0,Female,3.0
526.0,Android,224.0,4.5,1646.0,57.0,665.0,59.0,Male,3.0
471.0,Android,248.0,4.6,1396.0,52.0,883.0,40.0,Male,3.0
269.0,Android,208.0,4.7,1642.0,45.0,861.0,55.0,Male,3.0
480.0,Android,189.0,4.8,1681.0,59.0,795.0,57.0,Male,3.0
246.0,Android,202.0,5.0,1542.0,45.0,844.0,29.0,Male,3.0
632.0,Android,216.0,5.1,1483.0,54.0,977.0,45.0,Female,3.0
448.0,Android,234.0,5.2,1604.0,58.0,919.0,58.0,Male,3.0
668.0,Android,205.0,5.5,1699.0,49.0,729.0,36.0,Male,3.0
178.0,Android,193.0,5.7,1471.0,51.0,972.0,31.0,Female,3.0
463.0,Android,216.0,5.9,1789.0,54.0,987.0,55.0,Male,3.0
327.0,Android,199.0,6.0,1707.0,57.0,881.0,55.0,Male,3.0
211.0,Android,451.0,6.1,2108.0,76.0,1434.0,25.0,Female,4.0
561.0,Android,408.0,6.2,2245.0,69.0,1103.0,38.0,Female,4.0
195.0,Android,473.0,6.4,2109.0,79.0,1300.0,23.0,Female,4.0
244.0,Android,451.0,6.5,2378.0,69.0,1341.0,44.0,Male,4.0
506.0,Android,348.0,6.6,2398.0,66.0,1415.0,49.0,Female,4.0
351.0,Android,463.0,6.9,2111.0,73.0,1463.0,54.0,Male,4.0
65.0,Android,459.0,7.0,1982.0,67.0,1091.0,43.0,Male,4.0
515.0,Android,466.0,7.1,1984.0,73.0,1461.0,54.0,Male,4.0
446.0,Android,378.0,7.2,1859.0,61.0,1318.0,58.0,Male,4.0
467.0,Android,414.0,7.3,2349.0,75.0,1092.0,51.0,Male,4.0
350.0,Android,303.0,7.4,2314.0,66.0,1387.0,34.0,Male,4.0
95.0,Android,411.0,7.5,2169.0,72.0,1083.0,58.0,Male,4.0
9.0,Android,340.0,7.7,2138.0,75.0,1053.0,42.0,Female,4.0
409.0,Android,357.0,7.8,2289.0,74.0,1242.0,22.0,Female,4.0
337.0,Android,473.0,7.9,2292.0,62.0,1472.0,44.0,Male,4.0
295.0,Android,580.0,8.5,2660.0,87.0,1795.0,52.0,Male,5.0
404.0,Android,566.0,8.6,2595.0,89.0,1657.0,51.0,Female,5.0
201.0,Android,495.0,8.9,2920.0,84.0,2252.0,31.0,Female,5.0
461.0,Android,523.0,9.0,2696.0,91.0,1561.0,20.0,Female,5.0
574.0,Android,537.0,9.1,2858.0,86.0,2158.0,22.0,Male,5.0
690.0,Android,541.0,9.5,2424.0,98.0,1550.0,32.0,Male,5.0
139.0,Android,497.0,9.7,2876.0,94.0,2076.0,18.0,Male,5.0
482.0,Android,528.0,10.4,2717.0,87.0,2140.0,34.0,Male,5.0
224.0,Android,532.0,10.7,2556.0,83.0,2148.0,53.0,Female,5.0
512.0,Android,567.0,10.8,2911.0,89.0,1682.0,39.0,Male,5.0
212.0,Android,481.0,10.9,2752.0,86.0,2017.0,18.0,Male,5.0
538.0,Android,593.0,11.1,2672.0,82.0,2258.0,34.0,Female,5.0
38.0,Android,522.0,11.2,2808.0,93.0,2328.0,24.0,Male,5.0
667.0,Android,529.0,11.4,2891.0,82.0,1845.0,46.0,Male,5.0
418.0,Android,572.0,11.7,2655.0,91.0,2481.0,57.0,Female,5.0
126.0,Android,535.0,11.8,2858.0,99.0,2378.0,50.0,Male,5.0
