User ID,Operating System,App Usage Time (min/day),Screen On Time (hours/day),Battery Drain (mAh/day),Number of Apps Installed,Data Usage (MB/day),Age,Gender,User Behavior Class
214.0,Android,41.0,1.1,588.0,10.0,246.0,22.0,Male,1.0
106.0,Android,66.0,1.2,585.0,12.0,264.0,36.0,Male,1.0
465.0,Android,68.0,1.3,583.0,10.0,281.0,26.0,Female,1.0
236.0,Android,37.0,1.4,369.0,18.0,295.0,19.0,Female,1.0
493.0,Android,87.0,1.5,594.0,19.0,198.0,36.0,Female,1.0
175.0,Android,51.0,1.6,509.0,11.0,113.0,29.0,Female,1.0
282.0,Android,39.0,1.7,530.0,11.0,268.0,26.0,Female,1.0
84.0,Android,39.0,1.8,368.0,11.0,105.0,19.0,Male,1.0
470.0,Android,39.0,1.9,541.0,16.0,294.0,37.0,Male,1.0
77.0,Android,34.0,2.0,558.0,14.0,122.0,54.0,Female,1.0
562.0,Android,121.0,2.1,1188.0,21.0,578.0,18.0,Male,2.0
54.0,Android,97.0,2.2,1101.0,38.0,375.0,53.0,Male,2.0
429.0,Android,94.0,2.3,1033.0,33.0,369.0,58.0,Male,2.0
254.0,Android,100.0,2.4,982.0,31.0,478.0,48.0,Female,2.0
129.0,Android,125.0,2.5,678.0,34.0,465.0,31.0,Male,2.0
105.0,Android,166.0,2.8,1113.0,28.0,360.0,25.0,Male,2.0
646.0,Android,174.0,2.9,1197.0,23.0,345.0,20.0,Female,2.0
314.0,Android,130.0,3.0,820.0,21.0,308.0,49.0,Female,2.0
662.0,Android,138.0,3.1,947.0,29.0,545.0,48.0,Male,2.0
663.0,Android,130.0,3.2,1189.0,37.0,448.0,45.0,Male,2.0
89.0,Android,137.0,3.3,839.0,31.0,348.0,34.0,Female,2.0
156.0,Android,158.0,3.4,893.0,36.0,493.0,32.0,Male,2.0
171.0,Android,92.0,3.7,1124.0,27.0,524.0,44.0,Male,2.0
517.0,Android,120.0,3.8,940.0,36.0,535.0,44.0,Male,2.0
259.0,Android,201.0,4.0,1791.0,50.0,914.0,18.0,Male,3.0
104.0,Android,274.0,4.2,1781.0,52.0,934.0,28.0,Male,3.0
587.0,Android,197.0,4.4,1665.0,44.0,608.0,43.0,Female,3.0
294.0,Android,226.0,4.5,1781.0,45.0,649.0,27.0,Female,3.0
32.0,Android,197.0,4.6,1660.0,59.0,975.0,25.0,Male,3.0
41.0,Android,240.0,4.7,1464.0,52.0,708.0,56.0,Female,3.0
165.0,Android,278.0,4.8,1238.0,48.0,851.0,43.0,Female,3.0
14.0,Android,215.0,4.9,1662.0,43.0,857.0,43.0,Male,3.0
258.0,Android,272.0,5.0,1655.0,45.0,686.0,19.0,Female,3.0
507.0,Android,238.0,5.1,1408.0,45.0,941.0,27.0,Male,3.0
653.0,Android,206.0,5.2,1632.0,47.0,694.0,30.0,Male,3.0
658.0,Android,278.0,5.3,1368.0,56.0,894.0,40.0,Female,3.0
177.0,Android,255.0,5.4,1738.0,42.0,826.0,21.0,Male,3.0
109.0,Android,187.0,5.5,1754.0,55.0,711.0,50.0,Female,3.0
179.0,Android,207.0,5.7,1582.0,52.0,692.0,38.0,Male,3.0
