User ID,Operating System,App Usage Time (min/day),Screen On Time (hours/day),Battery Drain (mAh/day),Number of Apps Installed,Data Usage (MB/day),Age,Gender,User Behavior Class
459.0,iOS,56.0,1.0,547.0,10.0,142.0,58.0,Female,1.0
518.0,iOS,64.0,1.2,592.0,19.0,218.0,25.0,Male,1.0
93.0,iOS,84.0,1.4,501.0,16.0,284.0,56.0,Female,1.0
648.0,iOS,66.0,1.5,565.0,17.0,283.0,42.0,Female,1.0
457.0,iOS,74.0,1.6,587.0,15.0,275.0,27.0,Female,1.0
652.0,iOS,69.0,1.7,519.0,10.0,167.0,51.0,Female,1.0
680.0,iOS,33.0,1.8,334.0,16.0,113.0,36.0,Female,1.0
189.0,iOS,130.0,2.0,602.0,21.0,589.0,30.0,Female,2.0
191.0,iOS,134.0,2.2,917.0,23.0,423.0,23.0,Male,2.0
231.0,iOS,159.0,2.3,1083.0,32.0,526.0,38.0,Male,2.0
669.0,iOS,170.0,2.4,1039.0,38.0,334.0,23.0,Male,2.0
94.0,iOS,134.0,2.5,1125.0,24.0,367.0,35.0,Male,2.0
548.0,iOS,139.0,2.6,658.0,33.0,358.0,58.0,Female,2.0
298.0,iOS,170.0,2.7,805.0,26.0,344.0,53.0,Female,2.0
82.0,iOS,172.0,2.8,1035.0,22.0,549.0,41.0,Male,2.0
305.0,iOS,155.0,2.9,1117.0,22.0,322.0,19.0,Female,2.0
422.0,iOS,168.0,3.2,716.0,38.0,414.0,43.0,Male,2.0
215.0,iOS,152.0,3.3,1175.0,29.0,461.0,42.0,Female,2.0
557.0,iOS,142.0,3.5,625.0,25.0,370.0,40.0,Female,2.0
500.0,iOS,143.0,3.6,988.0,26.0,504.0,45.0,Female,2.0
202.0,iOS,127.0,3.7,1153.0,35.0,314.0,37.0,Female,2.0
432.0,iOS,140.0,3.8,1137.0,36.0,506.0,53.0,Male,2.0
455.0,iOS,143.0,3.9,1160.0,24.0,398.0,45.0,Male,2.0
444.0,iOS,231.0,4.0,1664.0,48.0,724.0,29.0,Female,3.0
267.0,iOS,181.0,4.1,1608.0,43.0,752.0,22.0,Female,3.0
478.0,iOS,258.0,4.2,1315.0,44.0,762.0,59.0,Female,3.0
5.0,iOS,187.0,4.3,1367.0,58.0,988.0,31.0,Female,3.0
488.0,iOS,228.0,4.4,1734.0,46.0,804.0,57.0,Female,3.0
67.0,iOS,257.0,4.5,1705.0,57.0,912.0,55.0,Male,3.0
381.0,iOS,188.0,4.6,1767.0,47.0,653.0,34.0,Male,3.0
497.0,iOS,182.0,4.8,1500.0,51.0,807.0,43.0,Female,3.0
315.0,iOS,281.0,4.9,1566.0,59.0,632.0,29.0,Male,3.0
474.0,iOS,289.0,5.0,1625.0,45.0,687.0,29.0,Male,3.0
309.0,iOS,285.0,5.1,1226.0,57.0,666.0,20.0,Female,3.0
299.0,iOS,264.0,5.2,1641.0,44.0,778.0,44.0,Male,3.0
146.0,iOS,188.0,5.3,1281.0,45.0,974.0,35.0,Male,3.0
15.0,iOS,189.0,5.4,1754.0,53.0,779.0,49.0,Female,3.0
431.0,iOS,266.0,5.5,1238.0,59.0,839.0,22.0,Male,3.0
583.0,iOS,191.0,5.7,1414.0,53.0,991.0,19.0,Female,3.0
18.0,iOS,299.0,5.8,1431.0,41.0,985.0,44.0,Female,3.0
303.0,iOS,469.0,6.0,2290.0,67.0,1086.0,34.0,Female,4.0
339.0,iOS,306.0,6.1,2267.0,70.0,1449.0,46.0,Male,4.0
649.0,iOS,389.0,6.3,2294.0,76.0,1334.0,53.0,Male,4.0
533.0,iOS,431.0,6.4,2206.0,66.0,1200.0,23.0,Female,4.0
262.0,iOS,334.0,6.6,2394.0,68.0,1227.0,46.0,Female,4.0
265.0,iOS,334.0,6.8,2000.0,77.0,1079.0,40.0,Female,4.0
217.0,iOS,402.0,6.9,2282.0,78.0,1397.0,40.0,Male,4.0
60.0,iOS,325.0,7.1,2269.0,64.0,1053.0,56.0,Male,4.0
312.0,iOS,341.0,7.2,2397.0,68.0,1055.0,32.0,Female,4.0
127.0,iOS,332.0,7.4,2149.0,68.0,1321.0,20.0,Female,4.0
578.0,iOS,381.0,7.5,2216.0,66.0,1291.0,37.0,Female,4.0
27.0,iOS,444.0,7.6,2372.0,77.0,1002.0,29.0,Male,4.0
283.0,iOS,386.0,7.7,2114.0,72.0,1209.0,51.0,Male,4.0
187.0,iOS,402.0,7.8,2014.0,79.0,1088.0,34.0,Female,4.0
364.0,iOS,321.0,7.9,2159.0,64.0,1499.0,45.0,Male,4.0
405.0,iOS,559.0,8.2,2618.0,84.0,2102.0,22.0,Female,5.0
330.0,iOS,541.0,8.3,2865.0,89.0,1820.0,42.0,Female,5.0
435.0,iOS,581.0,8.4,2591.0,99.0,2304.0,58.0,Male,5.0
610.0,iOS,551.0,8.5,2927.0,92.0,1901.0,51.0,Male,5.0
445.0,iOS,555.0,8.8,2540.0,97.0,2402.0,22.0,Male,5.0
232.0,iOS,495.0,8.9,2855.0,91.0,2150.0,31.0,Male,5.0
72.0,iOS,521.0,9.0,2902.0,97.0,1701.0,37.0,Male,5.0
183.0,iOS,544.0,9.2,2936.0,83.0,2416.0,47.0,Female,5.0
151.0,iOS,523.0,9.4,2583.0,92.0,1539.0,21.0,Male,5.0
97.0,iOS,550.0,9.5,2916.0,91.0,1946.0,20.0,Male,5.0
263.0,iOS,518.0,9.6,2954.0,93.0,2125.0,34.0,Female,5.0
371.0,iOS,558.0,9.8,2765.0,83.0,1548.0,25.0,Female,5.0
510.0,iOS,492.0,10.0,2513.0,90.0,1968.0,31.0,Male,5.0
69.0,iOS,516.0,10.2,2932.0,98.0,1547.0,31.0,Male,5.0
342.0,iOS,597.0,10.3,2718.0,90.0,1863.0,26.0,Female,5.0
382.0,iOS,493.0,10.4,2453.0,99.0,1813.0,39.0,Male,5.0
343.0,iOS,529.0,10.5,2971.0,87.0,1683.0,56.0,Male,5.0
240.0,iOS,573.0,10.8,2711.0,96.0,2118.0,33.0,Female,5.0
483.0,iOS,549.0,11.1,2851.0,87.0,1814.0,56.0,Male,5.0
145.0,iOS,524.0,11.2,2417.0,90.0,2069.0,29.0,Female,5.0
136.0,iOS,555.0,11.3,2528.0,90.0,1856.0,55.0,Female,5.0
304.0,iOS,541.0,11.4,2443.0,89.0,1923.0,34.0,Female,5.0
398.0,iOS,517.0,11.6,2798.0,90.0,2175.0,20.0,Male,5.0
180.0,iOS,539.0,11.9,2853.0,83.0,2007.0,55.0,Male,5.0
