User ID,Operating System,App Usage Time (min/day),Screen On Time (hours/day),Battery Drain (mAh/day),Number of Apps Installed,Data Usage (MB/day),Age,Gender,User Behavior Class
5,iOS,187,4.3,1367,58,988,31,Female,3
10,iOS,424,6.6,1957,75,1301,42,Male,4
15,iOS,189,5.4,1754,53,779,49,Female,3
18,iOS,299,5.8,1431,41,985,44,Female,3
20,iOS,577,8.5,2774,89,2192,29,Female,5
27,iOS,444,7.6,2372,77,1002,29,Male,4
37,iOS,122,3.3,755,30,573,26,Male,2
56,iOS,68,1.6,450,14,111,30,Male,1
60,iOS,325,7.1,2269,64,1053,56,Male,4
66,iOS,225,4.0,1420,48,917,56,Male,3
67,iOS,257,4.5,1705,57,912,55,Male,3
69,iOS,516,10.2,2932,98,1547,31,Male,5
72,iOS,521,9.0,2902,97,1701,37,Male,5
75,iOS,47,2.0,476,14,125,39,Male,1
82,iOS,172,2.8,1035,22,549,41,Male,2
93,iOS,84,1.4,501,16,284,56,Female,1
94,iOS,134,2.5,1125,24,367,35,Male,2
97,iOS,550,9.5,2916,91,1946,20,Male,5
116,iOS,121,3.2,651,34,596,39,Male,2
117,iOS,75,1.2,409,13,281,18,Male,1
118,iOS,220,5.2,1631,49,909,27,Female,3
127,iOS,332,7.4,2149,68,1321,20,Female,4
136,iOS,555,11.3,2528,90,1856,55,Female,5
143,iOS,156,2.2,896,37,429,57,Female,2
145,iOS,524,11.2,2417,90,2069,29,Female,5
146,iOS,188,5.3,1281,45,974,35,Male,3
151,iOS,523,9.4,2583,92,1539,21,Male,5
164,iOS,32,2.0,469,18,139,22,Male,1
174,iOS,368,6.6,1817,72,1406,27,Female,4
180,iOS,539,11.9,2853,83,2007,55,Male,5
183,iOS,544,9.2,2936,83,2416,47,Female,5
184,iOS,73,1.2,308,15,275,39,Female,1
187,iOS,402,7.8,2014,79,1088,34,Female,4
189,iOS,130,2.0,602,21,589,30,Female,2
191,iOS,134,2.2,917,23,423,23,Male,2
193,iOS,432,7.2,1822,63,1127,59,Female,4
194,iOS,262,4.1,1287,52,997,36,Male,3
202,iOS,127,3.7,1153,35,314,37,Female,2
215,iOS,152,3.3,1175,29,461,42,Female,2
217,iOS,402,6.9,2282,78,1397,40,Male,4
219,iOS,499,9.6,2873,81,1805,52,Female,5
228,iOS,193,5.2,1318,49,626,32,Female,3
231,iOS,159,2.3,1083,32,526,38,Male,2
232,iOS,495,8.9,2855,91,2150,31,Male,5
235,iOS,132,3.8,636,28,529,53,Male,2
240,iOS,573,10.8,2711,96,2118,33,Female,5
262,iOS,334,6.6,2394,68,1227,46,Female,4
263,iOS,518,9.6,2954,93,2125,34,Female,5
265,iOS,334,6.8,2000,77,1079,40,Female,4
267,iOS,181,4.1,1608,43,752,22,Female,3
275,iOS,122,2.6,639,37,568,35,Male,2
283,iOS,386,7.7,2114,72,1209,51,Male,4
298,iOS,170,2.7,805,26,344,53,Female,2
299,iOS,264,5.2,1641,44,778,44,Male,3
302,iOS,267,4.4,1505,59,971,38,Female,3
303,iOS,469,6.0,2290,67,1086,34,Female,4
304,iOS,541,11.4,2443,89,1923,34,Female,5
305,iOS,155,2.9,1117,22,322,19,Female,2
309,iOS,285,5.1,1226,57,666,20,Female,3
312,iOS,341,7.2,2397,68,1055,32,Female,4
315,iOS,281,4.9,1566,59,632,29,Male,3
321,iOS,227,4.4,1275,56,984,22,Female,3
325,iOS,445,7.5,2007,78,1115,23,Male,4
330,iOS,541,8.3,2865,89,1820,42,Female,5
332,iOS,176,3.8,727,36,362,47,Female,2
339,iOS,306,6.1,2267,70,1449,46,Male,4
340,iOS,64,1.2,590,13,155,30,Male,1
341,iOS,75,1.0,435,13,223,43,Male,1
342,iOS,597,10.3,2718,90,1863,26,Female,5
343,iOS,529,10.5,2971,87,1683,56,Male,5
344,iOS,290,6.0,1533,54,645,57,Female,3
345,iOS,256,5.8,1309,52,840,43,Male,3
346,iOS,308,7.7,1974,73,1431,37,Female,4
357,iOS,291,4.1,1326,51,905,55,Female,3
358,iOS,488,9.5,2840,92,1986,48,Female,5
364,iOS,321,7.9,2159,64,1499,45,Male,4
370,iOS,165,2.4,816,35,503,34,Male,2
371,iOS,558,9.8,2765,83,1548,25,Female,5
377,iOS,65,1.7,490,17,122,51,Female,1
381,iOS,188,4.6,1767,47,653,34,Male,3
382,iOS,493,10.4,2453,99,1813,39,Male,5
386,iOS,349,6.6,2041,78,1096,40,Female,4
